,name,rating,id,sentiment,director,scriptwriter,starring,genre,date,total_people,running_time
1604,寒战2,6.9,20505982,1.0,"['梁乐民', '陆剑青']","['梁乐民', '陆剑青', '吴炜伦']","['郭富城', '梁家辉', '杨采妮', '彭于晏', '李治廷']",剧情,2016-07-08(中国大陆/香港),235,110
1605,发条城市,5.9,26695145,1.0,['江涛'],['江涛'],"['王宁', '修睿', '王自健', '王鸥', '刘雅瑟']",喜剧,2016-07-08(中国大陆),235,113
1606,张震讲故事之合租屋,3.8,26781781,0.999997904670494,['战越'],['危巍'],"['卢杉', '傅亨', '吴谨西', '宋撼寰', '丁绮']",爱情,2016-07-08(中国大陆),43363,87
1607,人在驴途,3.4,26828215,0.9999975282116795,['杨琳'],['张亚光'],"['邵峰', '张亚光', '黄成麟', '李若嘉', '何苗']",喜剧,2016-07-09(中国大陆),43363,101
1608,路边野餐,7.7,26337866,0.9999999999999314,['毕赣'],['毕赣'],"['陈永忠', '谢理循', '余世学', '郭月', '赵达清']",剧情,2016-07-15(中国大陆),848,110
1609,惊天大逆转,7.0,26375609,0.9992803631025492,['李骏'],['丁小洋'],"['钟汉良', '李政宰', '郎月婷', '李彩英']",剧情,2016-07-15(中国大陆),848,110
1610,超能太阳鸭,4.8,26341315,0.9999999999960834,['维克多·拉基索夫'],"['鲍勃·安德伍德', '维克多·拉基索夫', '约翰·T·米克维奇', '瓦季姆·斯韦什尼科夫', '弗谢沃洛德·佐林']","['迈克尔·格罗斯', '杰西·科尔蒂', '马克·戴卡洛', '恩·赖特尔', '罗比·戴蒙德']",剧情,2016-07-15(中国大陆),13834,86
1611,假装看不见之电影大师,2.5,26745210,5.5038203259138996e-05,['卫捷'],['卫捷'],"['姚星彤', '李贤宰', '任言恺', '孙心娅', '张佑赫']",喜剧,2016-07-15(中国大陆),13834,90
1612,绝地逃亡,5.5,24529353,0.9999999983370147,['雷尼·哈林'],"['布莱恩·盖特伍德', '本大卫·格拉宾斯基', '杰·朗吉诺', '亚历桑德罗·田中', '成龙']","['成龙', '范冰冰', '约翰尼·诺克斯维尔', '曾志伟', '王敏德']",喜剧,2016-07-21(中国大陆),10106,111
1613,魔都凶音,4.8,26772860,1.0,['彭鹏华'],"['彭鹏华', '郭媛媛']","['姜雯', '于小伟', '张瑶', '张辛苑', '王笑天']",悬疑,2016-07-22(中国大陆),10106,87
