,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like,boxing,difference,average
86,别跟我谈高富帅,3.1,11636291,3.1846322510187264e-06,"['张一墨', '臧溪川']","['刘卫兵', '沈诗棋']","['王聪', '甘露', '啜妮', '宋哲', '艾晓琪']",喜剧,17445,90,2013,05,24,840.0,183156.0,101680.0,2396177.0,-5.0,-143436.0,-95290.0,-2095753.0,1.8万,444,32
87,刺夜,5.6,11226120,0.9999999996961808,"['任鹏远', '彭际航']",['张启音'],"['蒲巴甲', '杜奕衡', '吴卫东', '王子子', '何杜娟']",动作,7164,95,2013,04,19,884.0,7081.0,29928.0,27733.0,-1.0,0.0,0.0,0.0,72.8万,3563,174
88,前任攻略,6.2,24751754,0.9999999999999762,['田羽生'],"['田羽生', '史晨赟', '刘伯翰', '牛新瑶']","['韩庚', '姚星彤', '郑恺', '王丽坤', '班嘉佳']",喜剧,5618,108,2014,01,31,1.0,7.0,15.0,37.0,0.0,0.0,0.0,0.0,12968.5万,8991,917
89,剑河,4.1,25762268,0.3852494900390308,['陶盟喜'],"['潘洪波', '陶盟喜', '戚七奇']","['梁小龙', '李炳渊', '陈之辉', '崔煜林', '高利虹']",剧情,282,92,2014,10,24,686.0,13466.0,12828.0,47105.0,-32.0,0.0,0.0,0.0,24.8万,489,317
90,功夫侠,3.7,4118068,0.9997586494301934,"['宁瀛', '袁祥仁']","['张大星', '陈虎', '王倩']","['陈虎', '蒋梦婕', '瓦妮莎·布兰奇', '柴纳·迈克', '阿曼·达博']",动作,1342,94,2013,07,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.1万,3855,243
91,功夫熊猫2,8.0,3233635,1.0,['吕寅荣'],"['乔纳森·阿贝尔', '格伦·伯杰']","['杰克·布莱克', '安吉丽娜·朱莉', '达斯汀·霍夫曼', '加里·奥德曼', '成龙']",喜剧,105,91,2011,05,28,881.0,7727.0,14844.0,33701.0,2.0,0.0,0.0,0.0,61206.6万,12909,3815
92,动物也疯狂,5.9,3103708,0.9999999970738428,['尼基尔·阿德瓦尼'],"['尼基尔·阿德瓦尼', '拉胡尔·阿瓦特', '吉里什·达米贾', '苏雷什·奈尔', '米拉帕·扎韦里']","['加利·艾尔维斯', '克里斯托弗·洛伊德', '特罗伊·贝克', '凡妮莎·威廉斯', '简·林奇']",动画,62866,97,2014,09,05,19.0,538.0,1319.0,2278.0,0.0,0.0,0.0,0.0,990.3万,1347,406
93,劫案迷云,6.0,5151892,0.0003081310657825353,['西蒙·韦斯特'],['大卫·古根海姆'],"['尼古拉斯·凯奇', '玛琳·阿克曼', '乔什·卢卡斯', '丹尼·赫斯顿', '马克·瓦雷']",剧情,2400,96,2013,03,01,925.0,2227.0,3105.0,6070.0,1.0,0.0,0.0,0.0,4425.7万,4766,1269
94,劳拉的星星在中国,5.9,5163546,0.963326340930141,"['Piet De Rycker', 'Thilo Rothkirch']","['Klaus Baumgart', 'Piet De Rycker', 'Rolf Giesen']","['Annabel Wolf', 'Mariann Schneider', 'Dirk Bach']",动画,16491,80,2011,04,30,17.0,134.0,200.0,540.0,-5.0,90.0,109.0,286.0,301.5万,24,24
96,北京遇上西雅图,7.4,10574468,1.0,['薛晓路'],['薛晓路'],"['汤唯', '吴秀波', '海清', '宋美曼', '宋美慧']",喜剧,41,123,2013,03,21,69.0,279.0,1199.0,422.0,-59.0,-249.0,-1069.0,-335.0,52016.9万,11066,909
97,北川重生,5.0,6519582,1.0,['孔笙'],['赵冬苓'],"['董勇', '刘敏涛', '高鑫', '祖峰', '孙敏']",剧情,59183,99,2011,05,12,78.0,292.0,1164.0,211.0,-3.0,0.0,0.0,0.0,41.0万,224,232
98,北漂鱼,4.8,10449536,0.986404580384364,['余治林'],"['余铁力', '凡星', '李晶', '余治林']","['姜峰', '尼玛颂宋', '林子聪', '雷茜', '大鹏']",喜剧,929,88,2013,06,21,16.0,497.0,2414.0,563.0,-9.0,-239.0,-229.0,-5.0,333.0万,44,272
99,北角,6.3,6514087,0.003865574281771145,['朱少宇'],['秋艳'],"['钟淑慧', '吴岱融', '林隽健', '曾幸']",剧情,8364,90,2011,11,04,885.0,616.0,990.0,2752.0,-1.0,0.0,0.0,0.0,10.5万,548,214
100,十万个冷笑话,7.4,26759539,1.0,"['卢恒宇', '李姝洁']","['卢恒宇', '李姝洁', '寒舞', '隋佳林', '高信影', '赵聪']","['山新', '郝祥海', '李姝洁', '藤新', '图特哈蒙']",喜剧,54,101,2017,08,18,121.0,3935.0,34952.0,12124.0,-101.0,517.0,-27330.0,10.0,11987.7万,26023,1803
101,十万伙急,5.2,25806698,0.9999999999999996,['查慕春'],['查慕春'],"['陈翔', '英达', '戴立忍', '黄秋生', '蕙子']",喜剧,7487,100,2015,01,29,149.0,2794.0,4390.0,11029.0,-89.0,-623.0,-1104.0,-2308.0,128.3万,285,99
102,十二生肖,6.7,4212172,1.0,['成龙'],"['成龙', '唐季礼', '邓景生', '陈勋奇']","['成龙', '权相宇', '廖凡', '姚星彤', '张蓝心']",喜剧,2168,122,2012,12,20,880.0,665867.0,2002681.0,945243.0,-1.0,0.0,0.0,0.0,88118.1万,43872,20040
104,午夜凶梦,3.4,6013868,0.010293983473741776,['叶伟英'],['王策'],"['钟欣潼', '吴建飞', '关智斌', '周显欣', '黄维德']",悬疑,100,90,2011,11,25,406.0,3862.0,6068.0,21776.0,-297.0,-1455.0,-1295.0,-9601.0,922.7万,-356,589
105,午夜微博,3.5,6844887,0.9775863756116712,['邓科'],"['高路', '邓科', 'kirtmei']","['邓紫衣', '唐禹哲', '杜娟', '刘羽琦', '洪亦平']",悬疑,193,90,2013,03,01,56.0,513.0,586.0,1247.0,-31.0,-129.0,-178.0,-451.0,536.6万,4189,1517
106,午夜火车,3.2,21339648,4.345328296073703e-07,['张江南'],['张江南'],"['霍思燕', '惠英红', '李宗翰', '王双宝', '岑小林']",悬疑,78,84,2013,03,08,828.0,30874.0,24584.0,974021.0,-1.0,-9237.0,-5335.0,-348580.0,679.1万,8027,518
107,半夜不要照镜子,3.5,10569133,0.05666101353688146,['牛朝阳'],['牛朝阳'],"['关智斌', '李曼筠', '徐汶萱', '张钧涵', '及莉']",悬疑,108,88,2012,06,14,804.0,1240.0,3838.0,4214.0,-276.0,0.0,0.0,0.0,1146.4万,15776,838
108,华丽之后,5.7,6068517,0.9999999994416564,['麦曦茵'],['麦曦茵'],"['容祖儿', '胡歌', '杜汶泽', '林欣彤', '陈家乐']",爱情,91,102,2012,08,16,882.0,149375.0,1002438.0,461257.0,0.0,0.0,0.0,0.0,168.2万,6805,271
109,南方大冰雪,4.7,20427700,0.9971829667162097,['龚应恬'],['傅建文'],"['房思瑜', '敖翔', '吴超', '王奕盛', '江佳奇']",剧情,1781,80,2012,12,28,684.0,5610.0,24914.0,20095.0,-259.0,0.0,0.0,0.0,32.3万,83,99
110,南泥湾,2.4,19944520,0.9183468358554748,['彭丹'],"['王兵', '彭丹']","['彭丹', '任帅', '姬他']",剧情,193,110,2013,03,01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.3万,127,1140
111,博物馆奇妙夜3,7.0,21349734,1.0,['肖恩·利维'],"['大卫·盖恩', '迈克尔·汉德尔曼', '马克·弗里德曼', '托马斯·列农', '罗伯特·本·加兰特']","['本·斯蒂勒', '罗宾·威廉姆斯', '欧文·威尔逊', '史蒂夫·库根', '瑞奇·热维斯']",喜剧,379874,98,2015,01,04,889.0,40623.0,44162.0,97097.0,-3.0,3446.0,5695.0,17537.0,32308.8万,35702,5221
112,卧虎,7.5,26425068,1.0,"['王晶', '关智耀']","['王晶', '吕冠南', '叶铭浩']","['甄子丹', '刘德华', '姜皓文', '郑则仕', '刘浩龙']",动作,679,128,2017,09,30,831.0,16599.0,28403.0,49685.0,1.0,0.0,0.0,0.0,1000.0万,-5,1315
113,危情营救,2.7,6999296,0.65864561244729,['段国云'],['郝瑞'],"['翁家明', '王姬', '高丽雯', '石兆琪']",动作,440,90,2013,01,12,4.0,75.0,75.0,317.0,-1.0,-13.0,-16.0,-31.0,102.2万,1904,210
114,厨子戏子痞子,7.0,6011806,1.0,['管虎'],"['管虎', '董润年']","['刘烨', '张涵予', '黄渤', '田中千绘', '梁静']",喜剧,283298,108,2013,03,29,17.0,11537.0,15657.0,29825.0,-7.0,84.0,991.0,3.0,27283.9万,5271,1162
115,双城计中计,6.6,6890469,0.6995518606697366,['潘安子'],['郭爽'],"['任贤齐', '腾格尔', '熊乃瑾', '刘承俊', '翁虹']",剧情,91,98,2012,02,24,307.0,44418.0,49853.0,159699.0,-39.0,0.0,0.0,0.0,2307.6万,2072,327
116,双重身份,4.3,3407821,0.0006408285410928193,['Dennis Dimster'],"['Zvia Dimbort', 'Dennis Dimster']","['方·基默', '伊莎贝拉·米珂', 'Hristo Shopov', '瓦伦丁·佩尔卡', '瓦伦丁·加内夫']",惊悚,62,93,2011,10,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.9万,652,111
118,变节：潜罪犯,6.1,6811422,0.9999999992881784,['邱礼涛'],"['叶天成', '欧冠英', '黎倩仪']","['谢天华', '吴镇宇', '黄宗泽', '杜汶泽', '惠英红']",动作,75421,84,2012,03,02,893.0,2608.0,4166.0,9058.0,2.0,0.0,0.0,0.0,1267.0万,382,93
119,变身男女,5.0,6714088,0.999999999999978,['李旗'],"['李旗', '秦雯', '初征']","['林志颖', '姚笛', '午马', '徐德昕', '徐松子']",剧情,78182,118,2012,01,26,861.0,7431.0,18495.0,64523.0,0.0,0.0,0.0,0.0,806.3万,3970,1007
120,变身超人,6.6,10833970,0.9999529209259356,['张时霖'],"['九把刀', '张时霖', '施名黛', '何昕明', '李庭瑜']","['陈柏霖', '邱彦翔', '郭雪芙', '陈庭萱', '敖犬']",喜剧,7164,95,2013,04,19,371.0,2550.0,7034.0,8891.0,-272.0,-1432.0,-1327.0,-5157.0,238.7万,127,356
121,古镇凶灵之巫咒缠身,4.0,22010958,0.9999999983325418,['刘辉'],"['施一凡', '刘辉']","['徐海乔', '蒋松', '郝洋', '张兆北', '刘政']",惊悚,15396,90,2013,09,06,5.0,3.0,27.0,9.0,-2.0,-1.0,-27.0,-3.0,1064.8万,3004,460
122,台北飘雪,5.5,3632506,0.9996308151889959,['霍建起'],['思芜'],"['陈柏霖', '童瑶', '杨祐宁', '蔡淑臻', '莫子仪']",剧情,351,107,2012,04,01,537.0,4814.0,5246.0,56355.0,-174.0,2143.0,2456.0,4292.0,195.2万,2626,649
123,叶问：终极一战,6.2,10794042,1.0,['邱礼涛'],"['李敏', '冼国林']","['黄秋生', '曾志伟', '钟欣潼', '陈小春', '周定宇']",剧情,1169,100,2013,03,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1113.1万,486,220
124,吉星高照2015,3.1,26301735,0.9999999999550602,['晴朗'],"['陈志恒', '彭艳雯']","['曾志伟', '王祖蓝', '陈嘉桦', '陈静', '温超']",喜剧,341,86,2015,03,01,803.0,7992.0,6584.0,91841.0,-622.0,-2652.0,-2596.0,-57954.0,1529.7万,122,664
125,后会无期,7.1,25805741,1.0,['韩寒'],['韩寒'],"['冯绍峰', '陈柏霖', '钟汉良', '王珞丹', '袁泉']",剧情,696,104,2014,07,24,817.0,95381.0,280586.0,1154763.0,-330.0,-27627.0,-265865.0,-403914.0,62881.2万,174328,9570
126,听说,8.1,3824672,0.9999999999152952,['郑芬芬'],['郑芬芬'],"['彭于晏', '陈意涵', '陈妍希', '罗北安', '林美秀']",剧情,2075,107,2015,06,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0万,2873,2624
