,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like,boxing,difference,average
162,天亮·分手,2.7,26378829,0.032836140120557245,['李凯'],['尹航'],"['陈晓东', '尹航', '安钧璨', '黎娟', '罗艳']",剧情,46318,90,2015,05,29,147.0,7478.0,9033.0,48282.0,-59.0,-1309.0,-2934.0,-2590.0,58.0万,134,25
163,天台爱情,6.8,10833924,1.0,['周杰伦'],['周杰伦'],"['周杰伦', '王学圻', '曾志伟', '柯有伦', '李心艾']",喜剧,49490,117,2013,07,11,160.0,1250.0,1241.0,8221.0,-99.0,-303.0,-380.0,-6001.0,11983.1万,112640,7376
164,天才眼镜狗,7.4,3101548,0.9999999999961338,['罗伯·明可夫'],"['杰伊·沃德', '克雷格·赖特']","['泰·布利尔', '麦克斯·查尔斯', '罗莉·弗雷泽', '吉约姆·阿瑞托斯', '帕特里斯·A·缪吉克']",喜剧,15304,92,2014,03,28,813.0,10728.0,40347.0,81459.0,-293.0,-1747.0,-4042.0,-6284.0,12161.1万,538,97
165,天机·富春山居图,2.9,5364905,0.6608957949204575,['孙健君'],['孙健君'],"['刘德华', '林志玲', '张静初', '佟大为', '斯琴高娃']",动作,127963,122,2013,06,09,16.0,1542.0,1519.0,2195.0,-2.0,-606.0,68.0,-127.0,30031.9万,10175,150
166,天津闲人,7.5,10864754,0.9999904947658383,['郑大圣'],"['吴滨', '金宇轩', '林希']","['管新成', '张金元', '杨淼', '李洪臣', '郑福山']",剧情,4553,90,2012,08,18,391.0,7920.0,16190.0,58659.0,-339.0,-1736.0,-9092.0,-52257.0,3.8万,39,73
167,天生爱情狂,5.8,10456963,1.0,['叶念琛'],['叶念琛'],"['张智霖', '刘心悠', '雨侨', '黄智雯', '梁竞徽']",喜剧,8352,106,2012,11,09,46.0,101.0,1735.0,46.0,-27.0,-80.0,-1417.0,-5.0,1139.1万,-571,1492
169,太极侠,5.4,6041199,1.0,['基努·里维斯'],['迈克尔·G·库尼'],"['陈虎', '基努·里维斯', '莫文蔚', '于海', '叶青']",动作,383444,106,2013,07,05,46.0,1100.0,1547.0,1203.0,-15.0,-425.0,-362.0,-811.0,2756.6万,83,3278
172,失孤,6.4,25835293,1.0,['彭三源'],['彭三源'],"['刘德华', '井柏然', '吴君如', '梁家辉', '倪景阳']",剧情,326153,108,2015,03,20,8.0,296.0,581.0,449.0,-6.0,-290.0,-512.0,-352.0,21617.9万,22246,636
173,夺命地铁,6.9,20497633,1.0,['安东·梅格尔季切夫'],"['丹尼斯·库雷舍夫', '维多利亚·叶夫谢耶娃']","['谢尔盖·普斯科帕里斯', '阿纳托利·比利', '斯维特拉纳·库德钦科娃', '安菲萨·梅德韦迭娃', '亚力克萨·巴杜科夫']",剧情,1418,107,2014,01,10,89.0,12962.0,12286.0,23075.0,-59.0,-11715.0,-11409.0,-18851.0,1999.9万,289,289
174,夺命旅行,3.3,24737155,0.9999977236660405,['邓衍成'],['畅游'],"['品冠', '曾泳醍', '韩宝凛', '陈峰', '罗家英']",惊悚,7455,87,2015,05,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,853.3万,6795,101
175,夺宝联盟,7.1,5502697,0.9999999999999998,['崔东勋'],['崔东勋'],"['金允石', '全智贤', '李政宰', '金惠秀', '金海淑']",动作,252,123,2013,01,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2225.1万,23367,825
177,奇袭60阵地,7.4,3681128,0.9999924227480408,['杰瑞米·西姆斯'],['大卫·洛奇'],"['布伦丹·考威尔', '哈里森·吉尔伯特森', '史蒂芬·李·马奎德', '杜坎·杨', '盖东·格兰特利']",剧情,739,122,2011,03,11,45.0,160.0,658.0,774.0,-9.0,0.0,0.0,0.0,572.8万,2384,604
179,奥林匹斯的陷落,6.3,10743974,0.9999999999999984,['安东尼·福奎阿'],"['克赖顿·罗森博格', '凯特琳·贝内迪克特']","['杰拉德·巴特勒', '艾伦·艾克哈特', '芬利·雅克布森', '迪伦·麦克德莫特', '尹成植']",动作,10711,114,2013,12,29,56.0,232.0,286.0,1058.0,-35.0,-73.0,-34.0,-520.0,4033.2万,72,357
180,女巫季节,5.5,3017651,0.9999416784468788,['多米尼克·塞纳'],['Bragi F. Schut'],"['尼古拉斯·凯奇', '朗·普尔曼', '斯蒂芬·坎贝尔·莫尔', '罗伯特·席安', '克里斯托弗·李']",动作,50216,95,2011,08,19,270.0,665.0,800.0,3003.0,-217.0,282.0,3175.0,-1416.0,3817.6万,13456,2434
181,好命先生,3.9,24888079,0.9999999999999858,['韩兆'],['韩兆'],"['陈小春', '安以轩', '刘桦', '倪景阳', '王迅']",喜剧,53865,91,2014,08,15,866.0,4660.0,7783.0,30664.0,0.0,0.0,0.0,0.0,2212.7万,52294,2303
182,妈咪侠,6.0,25932073,0.9999970779096709,['高志森'],"['高志森', '钟燕诗']","['冯宝宝', '曾江', '邵音音', '蔡瀚亿', '王澜霏']",喜剧,37611,96,2015,05,29,159.0,6175.0,8347.0,106566.0,-111.0,-3691.0,-1239.0,-75768.0,14.4万,315,106
183,孤岛惊魂2,2.8,20380318,0.9991008129797326,['钟继昌'],['方思行'],"['邓家佳', '陈志朋']",悬疑,102,93,2013,01,26,833.0,61026.0,123142.0,945127.0,0.0,-58147.0,-115855.0,-927378.0,1672.8万,2985,374
184,孪生密码,3.7,10793499,0.5663785238324293,['梁凯杰'],"['李灵', '马焱', '晶凌', '李锐']","['曹操', '杨玉梅', '吉飞龙', '沈婵娟', '孙兴']",动作,110255,96,2013,11,08,38.0,8148.0,6268.0,1518.0,-13.0,-3165.0,-2194.0,-679.0,82.2万,1279,216
185,宇宙英雄之超银河传说,6.9,3929463,0.9999999999714072,['坂本浩一'],"['岡部淳也', '樫原辰郎', '小林雄次']","['南翔太', '上良早纪', '八戸亮', '俊藤光利', '小西博之']",动作,4346,96,2011,05,13,92.0,756.0,1390.0,1339.0,-51.0,-122.0,-512.0,101.0,2901.8万,9746,297
186,守护童年,4.9,4713993,0.9999999784220848,"['刘抒鹃', '赵小溪']",['赵葆华'],"['颜丙燕', '肖韵', '姜宏波', '车永莉', '周浩东']",剧情,78642,96,2011,05,27,287.0,3955.0,7561.0,5136.0,-154.0,-3112.0,-6004.0,-1362.0,43.3万,85,67
187,守护者联盟,3.9,26589957,0.999999999999984,['萨里·奥德赛耶'],['安德烈·加夫里洛夫'],"['塞巴斯蒂安·斯萨克', '艾琳娜·拉尼娜', '安东·庞布施尼', '瓦谢斯拉夫·拉贝戈耶夫', '桑扎尔·马季耶夫']",动作,34652,89,2017,05,19,861.0,42370.0,31386.0,396777.0,-1.0,0.0,0.0,0.0,2867.2万,-267,841
188,守望者：罪恶迷途,6.8,4821015,0.9999999996964988,['非行'],['非行'],"['任达华', '陈思诚', '黄圣依', '张静初', '余少群']",剧情,51,103,2011,03,25,848.0,1227.0,778.0,118402.0,0.0,0.0,0.0,0.0,1783.6万,941,176
189,守株人,3.5,7053739,0.9098670464998304,['李明明'],['李明明'],"['杨紫', '骆达华', '杜奕衡', '刘筱筱', '林雪']",悬疑,47,90,2012,08,23,64.0,751.0,1376.0,5214.0,-30.0,-443.0,-928.0,-3707.0,309.0万,1278,271
191,安德的游戏,6.9,5323957,0.9999999999996121,['加文·胡德'],"['加文·胡德', '奥森·斯科特·卡德']","['阿萨·巴特菲尔德', '哈里森·福特', '海莉·斯坦菲尔德', '阿比盖尔·布蕾斯琳', '本·金斯利']",动作,185,114,2014,01,07,11.0,946.0,695.0,3343.0,-1.0,-247.0,64.0,-2082.0,13875.7万,42729,4842
192,完美的爱,3.4,5366661,0.9968405719736804,['王择谚'],['王择谚'],"['徐啸力', '杨杏', '李亮', '李雪梅', '王胜利']",剧情,143065,95,2011,10,04,605.0,54366.0,45643.0,80610.0,-318.0,-17352.0,-17414.0,-3894.0,22.0万,520,320
193,宙斯之子：赫拉克勒斯,5.9,3157583,0.9999999992621916,['布莱特·拉特纳'],"['莱恩·康道尔', '埃文·斯彼里奥托普洛斯', '史蒂夫·摩尔']","['道恩·强森', '伊恩·麦柯肖恩', '约翰·赫特', '卢夫斯·塞维尔', '阿卡塞尔·亨涅']",动作,603,101,2014,10,21,636.0,10223.0,6960.0,201455.0,-156.0,-3385.0,397.0,-66159.0,8282.4万,1818,216
194,宝贝，对不起,4.3,25955554,0.99911768464864,"['潘礼平', '杜林', '刘可', '李锐', '王骏']","['刘沈', '钟杰', '邱刚', '黄雨欣', '晏冰佳', '田宏芳']","['王艳', '王泓钦', '马景涛', '马世天', '邵兵']",家庭,164,90,2015,01,31,88.0,2582.0,1645.0,32366.0,-69.0,-1753.0,-1289.0,-23687.0,497.6万,4148,2115
195,宝马狂想曲,3.7,6901135,0.013015842822829526,['李麒麟'],"['李麒麟', '鲍鱼哥', '周鹭']","['陈小春', '戎祥', '熊乃瑾', '彭波', '刘添月']",喜剧,8575,90,2012,07,20,59.0,319.0,276.0,887.0,-6.0,-32.0,-106.0,-86.0,421.4万,466,192
196,宫锁沉香,4.8,20378811,1.0,['潘安子'],['于正'],"['周冬雨', '陈晓', '朱梓骁', '赵丽颖', '包贝尔']",剧情,25596,115,2013,08,13,13.0,143.0,137.0,1462.0,-2.0,-6.0,-24.0,-61.0,5447.7万,157672,13592
197,密道追踪之阴兵虎符,3.4,25852270,1.0,['俞岛'],"['俞岛', '俞胜利']","['唐文龙', '母其弥雅', '李炳渊', '李涛', '郭达']",动作,908,95,2014,12,05,559.0,57608.0,598486.0,1080782.0,-384.0,-51748.0,-581621.0,-1041793.0,901.4万,2540,629
198,对风说爱你,6.5,25830802,1.0,['王童'],"['郭筝', '李佳颖', '林智祥', '吴境']","['杨祐宁', '郭采洁', '郭碧婷', '胡宇威', '柯佳嬿']",剧情,17945,126,2015,06,26,658.0,3249.0,8139.0,20238.0,-361.0,0.0,0.0,0.0,278.1万,1708,297
199,寻龙夺宝,3.7,5355365,0.03428386280295437,['马里奥·安德鲁西奥'],"['马里奥·安德鲁西奥', '约翰·阿姆斯特朗', '罗恩·桑德斯']","['山姆·尼尔', '陈小春', '王姬', '罗伯特·马莫内', '李林金']",动作,739,93,2011,03,11,901.0,21157.0,67731.0,166052.0,2.0,0.0,0.0,0.0,3211.6万,23422,4228
200,将错就错,3.8,25899616,0.4834795191121113,['王宁'],['王宁'],"['小沈阳', '田亮', '陈小春', '熊黛林', '李诚儒']",喜剧,341,92,2015,03,05,817.0,34855.0,169759.0,104869.0,-287.0,-13375.0,-23015.0,-28519.0,3937.4万,13191,3727
201,小时代2：青木时代,4.9,24721493,0.9590805828603612,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '凤小岳', '郭碧婷']",剧情,172,116,2013,08,08,391.0,11362.0,20899.0,117485.0,-294.0,-9724.0,-19439.0,-110599.0,29629.7万,31926,2541
202,小时代3：刺金时代,4.3,24847340,0.9081517915275537,['郭敬明'],['郭敬明'],"['杨幂', '柯震东', '郭采洁', '陈学冬', '郭碧婷']",剧情,135145,126,2014,07,17,380.0,26079.0,37100.0,20962.0,-258.0,-21056.0,-34885.0,-11933.0,52156.1万,9482,639
203,小时代4：灵魂尽头,4.6,24847343,1.0,['郭敬明'],['郭敬明'],"['杨幂', '郭采洁', '陈学冬', '郭碧婷', '谢依霖']",喜剧,43,116,2015,07,09,861.0,7360.0,19624.0,105306.0,-2.0,0.0,0.0,1.0,48842.4万,13465,2805
205,小神来了,3.2,24706750,0.0019299000537951199,['杜鹏'],"['陈芷青', '张彦']","['钱枫', '邱启明', '天歌', '柳岩', '张一山']",喜剧,25596,91,2013,08,15,896.0,4297.0,5138.0,11808.0,0.0,0.0,0.0,0.0,105.4万,3468,420
206,小羊肖恩,8.4,24397586,0.9999999999986656,"['马克·伯顿', '理查德·斯塔扎克']","['马克·伯顿', '理查德·斯塔扎克', '尼克·帕克']","['贾斯汀·弗莱彻', '约翰·斯帕克斯', '欧米德·吉亚李利', '理查德·韦伯', '凯特·哈伯']",喜剧,49294,85,2015,07,17,989.0,10529.0,18366.0,132620.0,16.0,0.0,0.0,0.0,5378.8万,21095,3283
207,小鱼吃大鱼,6.2,20278801,1.0,['查传谊'],['丁小洋'],"['郭京飞', '齐溪', '孔维', '宋宁峰', '王一']",喜剧,16331,107,2012,12,07,96.0,608.0,679.0,1082.0,-23.0,0.0,0.0,0.0,105.1万,1154,168
208,少年派的奇幻漂流,9.0,1929463,1.0,['李安'],"['扬·马特尔', '大卫·麦基']","['苏拉·沙玛', '伊尔凡·可汗', '拉菲·斯波', '阿迪勒·侯赛因', '塔布']",剧情,31887,127,2012,11,22,32.0,2416.0,3007.0,5942.0,-19.0,7.0,5.0,-47.0,57289.9万,5763,342
209,屠魔战士,5.2,3680627,0.9999999999999998,['斯图尔特·贝亚蒂耶'],"['斯图尔特·贝亚蒂耶', '凯文·格雷维奥斯', '玛丽·雪莱']","['艾伦·艾克哈特', '伊冯娜·斯特拉霍夫斯基', '米兰达·奥图', '比尔·奈伊', '杰·科特尼']",动作,37611,92,2015,05,26,130.0,30171.0,153645.0,68198.0,-102.0,-26342.0,-150271.0,-60051.0,4703.5万,1824,185
210,岁岁清明,6.5,4910198,0.9999972513371436,['肖风'],['程晓玲'],"['钱佩怡', '盛翔', '张纹', '王永春', '安峰']",剧情,59561,96,2011,06,03,107.0,2798.0,3411.0,26218.0,-52.0,-1662.0,-1656.0,-1184.0,156.4万,813,239
211,岁月无声,6.8,6126441,1.0,['周旭'],['马德林'],"['范植伟', '马思纯', '蒙亭宜', '甘薇', '马德林']",剧情,485,93,2012,10,12,630114.0,38581.0,67562.0,213002.0,-20097.0,3.0,3.0,11.0,35.5万,5814,879
212,巨人捕手杰克,6.1,3415993,0.9999999999999224,['布莱恩·辛格'],"['达伦·莱姆克', '克里斯托弗·麦奎里', '丹·斯塔德尼', '大卫·道金']","['尼古拉斯·霍尔特', '埃莉诺·汤姆林森', '伊万·麦克格雷格', '斯坦利·图齐', '埃迪·马森']",剧情,1169,114,2013,03,25,890.0,1425.0,3868.0,15614.0,-4.0,0.0,0.0,0.0,5415.7万,4502,134
213,巴啦啦小魔仙之魔法的考验,3.3,25791073,0.957587333995894,"['于人', '刘浩']","['齐圆', '李冠萱']","['陈雨薇', '赵今麦', '刘黛希', '王慧', '徐可']",儿童,4456,90,2014,01,23,76.0,167.0,158.0,461.0,-28.0,39.0,48.0,70.0,1916.4万,1698,194
214,帝国秘符,2.9,6999256,0.9999855502052344,['李作楠'],['虞军豪'],"['潘粤明', '伊能静', '胡可', '侯勇']",动作,188,93,2013,09,18,22.0,685.0,947.0,212.0,-20.0,-639.0,-913.0,-202.0,349.7万,659,152
215,平壤之约,4.0,10478122,1.0,"['西尔扎提·亚合甫', '金贤哲']","['黄丹', '金春元']","['刘冬', '李梦男', '高扬棋', '陶玉玲', '金玉林']",剧情,23280,91,2012,08,03,11.0,68.0,207.0,75.0,-7.0,-59.0,-151.0,-59.0,214.0万,696,295
216,幸存日,4.8,5415664,0.9999365020326001,['Douglas Aarniokoski'],['Luke Passmore'],['Shannyn Sossamon'],悬疑,3590,87,2012,08,17,45.0,508.0,1921.0,4322.0,-2.0,-36.0,3.0,-659.0,47.3万,65,277
217,幸福卡片,5.8,5319823,0.9999969187207044,['陈宝玲 '],"['陈宝玲 ', 'Philip Dalkin', 'Martin Edmond']","['盖·皮尔斯', '朱琳', '金燕玲', '林肯·刘易斯', '克劳迪娅·卡万']",剧情,619,96,2011,09,02,61.0,1145.0,2596.0,1452.0,-20.0,-20.0,-477.0,101.0,165.6万,547,298
218,幸福迷途,5.2,10567087,0.9999999999997168,"['张全欣', '江约诚']","['张全欣', '李真']","['邵兵', '陈乔恩', '沙溢', '阿雅', '莫小棋']",剧情,54,95,2012,11,09,214.0,3735.0,2916.0,21079.0,-102.0,96.0,256.0,-8183.0,227.6万,2912,709
219,幸福额度,5.8,6225992,1.0,['陈正道'],"['王纪尧', '佐耳', '陈正道']","['林志玲', '廖凡', '陈坤', '杨祐宁', '张小燕']",喜剧,2301,94,2011,10,20,798.0,1500.0,2226.0,24256.0,-500.0,0.0,0.0,0.0,2934.9万,5475,338
221,床下有人,2.8,6753096,0.04841879656572945,['牛朝阳'],"['牛朝阳', '牛朝杰']","['何可人', '郭晓然', '武文佳', '葛红霖']",悬疑,142913,100,2011,10,14,249.0,12786.0,6737.0,59305.0,-131.0,0.0,0.0,0.0,1485.7万,15829,590
222,床下有人2,2.7,25910152,0.9999976223245464,['袁杰'],['张兴杰'],"['殷果儿', '李鹤楠', '陈圆', '宋伟', '陈嘉敏']",悬疑,9854,88,2014,08,22,167.0,1150.0,8337.0,32191.0,-114.0,-346.0,-6123.0,-10749.0,1490.0万,227,281
223,开心大冒险,3.9,7065352,0.01676359818147355,['李作楠'],['李作楠'],"['关礼杰', '林威', '刘倩', '王传君', '张逸杰']",喜剧,945,85,2012,01,06,919.0,733.0,699.0,6603.0,-1.0,0.0,0.0,0.0,255.5万,4333,325
224,开心超人,7.1,24284209,0.9999999999735258,['黄伟明'],['黄伟明'],"['邓玉婷', '祖晴', '高全胜', '刘红韵', '严彦子']",动画,2848,90,2013,06,28,91.0,7159.0,3197.0,53001.0,-68.0,-6263.0,-1226.0,-50750.0,3566.3万,1339,1327
225,开心魔法,4.2,6717575,0.9999999788170444,['叶伟信'],"['黄子桓', '陈大利']","['吴千语', '黄百鸣', '闫妮', '吴尊', '吴京']",喜剧,392397,99,2011,12,01,887.0,29861.0,24238.0,284154.0,-2.0,0.0,0.0,0.0,2004.3万,35582,195
226,张震讲故事之鬼迷心窍,3.2,26384363,0.2689097172874333,['徐正超'],['徐正超'],"['张翰', '张俪', '李心艾', '张皓然', '朱晓辉']",悬疑,718,87,2015,07,03,772.0,1289.0,2601.0,3342.0,-350.0,0.0,0.0,0.0,2093.4万,2516,873
227,弹无虚发之死亡之海,5.7,24527030,0.8078102717881955,['高力强'],['姜宏'],"['亓航', '陈之辉', '霍蓉', '张晔', '刘新']",剧情,482,97,2013,05,07,867.0,13356.0,8421.0,67406.0,4.0,-241.0,-1185.0,-9552.0,1.1万,14,101
228,微爱之渐入佳境,4.6,24751757,1.0,['顾长卫'],['顾伟'],"['杨颖', '陈赫', '张鲁一', '曹璐', '王姬']",喜剧,7707,98,2014,12,24,222.0,73979.0,1010517.0,67276.0,-91.0,-8124.0,-9923.0,-2855.0,28637.2万,8578,237
229,心咒,2.8,24695967,0.009291090014530656,['李唯劼'],"['唐川', '李唯劼', '右铮']","['朱智勋', '徐洁儿', '刘芷汐', '张亚希', '陆嘉浩']",悬疑,44922,95,2014,05,23,808.0,11041.0,24043.0,4829.0,-369.0,-10350.0,-22740.0,-1563.0,243.3万,-16,265
231,忘了去懂你,6.5,10807892,1.0,['权聆'],['权聆'],"['陶虹', '郭晓东', '王紫逸', '张一白']",剧情,37484,89,2014,08,29,817.0,482.0,925.0,1440.0,-119.0,0.0,0.0,0.0,213.4万,148,96
232,忠烈杨家将,6.0,5996799,0.9999138169335204,['于仁泰'],"['黄子桓', '刘诗嘉', '于仁泰']","['郑少秋', '徐帆', '郑伊健', '于波', '周渝民']",战争,327,103,2013,04,04,32.0,1415.0,1730.0,3152.0,-8.0,-9.0,-50.0,0.0,6181.9万,916,8845
233,忠诚与背叛,4.6,10746136,0.9999208790350596,['张玉中'],"['赵峻防', '邵均林', '沈悦', '宋健']","['刘之冰', '郭晓东', '李幼斌', '侯天来', '卢奇']",剧情,39286,92,2012,05,23,289.0,3236.0,7734.0,6054.0,-175.0,1941.0,2831.0,149.0,1822.7万,678,198
234,怖偶,2.9,10543682,0.9981443711008792,['王松'],"['唐明智', '韩梦泽', '渠水清']","['郑昊', '小彩旗', '阚清子', '贾伟']",悬疑,20592,88,2014,05,07,689.0,9757.0,23046.0,38666.0,-300.0,419.0,-4408.0,1696.0,563.5万,2388,470
235,怨灵人偶,2.8,21967905,0.9999999999933652,['石井辉仪'],"['钱海毅', '虞俏']","['汪东城', '周奇奇', '李逸朗', '蒋婧', '虞朗']",惊悚,54,84,2014,12,31,420.0,10607.0,16646.0,33552.0,-233.0,388.0,-4039.0,-4028.0,2592.1万,756,154
236,怪兽大学,8.0,3789848,1.0,['丹·斯坎隆'],"['罗伯特·L·贝尔德', '丹尼尔·吉尔森', '丹·斯坎隆']","['比利·克里斯托', '约翰·古德曼', '史蒂夫·布西密', '海伦·米伦', '彼得·孙']",喜剧,14084,104,2013,08,23,35.0,98.0,1258.0,34.0,-8.0,-49.0,-665.0,-2.0,20967.9万,9901,2213
237,恋爱排班表,4.4,26382849,0.9996378454746384,['丁乃筝'],['丁乃筝'],"['许晴', '车晓', '华少', '陈武康', '屈中恒']",喜剧,1903,90,2015,06,26,56.0,15157.0,27374.0,62081.0,-43.0,-7039.0,-24063.0,-58335.0,83.7万,1907,48
238,恋者多喜欢,4.2,19944572,0.9999999999989242,['白承勋'],['闫国琦'],"['胡兵', '刘涛', '马静怡', '连晋', '崔准硕']",喜剧,43064,90,2014,03,07,979.0,5187.0,10764.0,25587.0,0.0,0.0,0.0,0.0,38.5万,-90,32
239,恐龙宝贝,3.5,6104783,0.9998548095911128,"['汤继业', '王义得']",['汪成果'],"['孙晔', '沈达威', '王燕华', '海帆', '杨梦露']",动画,16491,85,2011,04,29,23.0,174.0,1088.0,388.0,-4.0,0.0,170.0,-38.0,326.7万,-22,866
241,惊天危机,7.3,10746175,0.9999999998973956,['罗兰·艾默里奇'],['詹姆斯·范德比尔特'],"['查宁·塔图姆', '杰米·福克斯', '玛吉·吉伦哈尔', '杰森·克拉克', '理查德·詹金斯']",动作,60,132,2013,07,22,146.0,4195.0,26391.0,1940.0,-54.0,-3649.0,-19555.0,-394.0,17726.6万,24643,1064
242,惊沙,5.8,5343383,0.9986396614099268,['安战军'],['秦天'],"['徐僧', '国歌', '高子沣', '刘鉴', '郭东文']",历史,785,102,2011,03,12,127.0,901.0,2104.0,604.0,-44.0,76.0,215.0,423.0,151.3万,2749,797
243,惊魂游戏,3.7,6536267,0.9995252999596962,['周耀武'],['周耀武'],"['胡兵', '莫小棋', '李玲玉', '王双宝', '朴努植']",悬疑,1568,90,2012,01,24,470243.0,1773161.0,377181.0,2264903.0,-8.0,0.0,1.0,7.0,394.9万,960,465
244,我为相亲狂,4.0,24751825,0.004532832326965774,['韩晶'],"['王旭', '顾峥艺']","['韩雪', '杜海涛', '李佳航', '谢依霖', '冯铭潮']",喜剧,2099,107,2013,11,01,6.0,102.0,521.0,256.0,-2.0,-15.0,-287.0,-111.0,517.5万,3441,880
245,我在路上最爱你,3.5,6147308,0.9756600915132484,['金丰起'],['金丰起'],"['黄圣依', '池珍熙', '车秀妍', '文章', '张少华']",剧情,33,94,2014,03,28,93.0,3989.0,4170.0,18748.0,-79.0,-3812.0,896.0,-17543.0,2085.2万,185,98
246,我愿意,5.8,6782006,0.0019192080130771003,['孙周'],['陈彤'],"['李冰冰', '孙红雷', '段奕宏', '薛佳凝', '张俪']",喜剧,1095,106,2012,02,10,16.0,178.0,719.0,437.0,-8.0,-60.0,-248.0,-6.0,8497.3万,76430,4450
247,我是中国人,2.7,6845675,0.9999999999955668,['刘观伟'],"['吴文', '郭思遥']","['李乾铭', '颜丹晨', '黄一飞', '张一龙', '周蕾']",剧情,46842,92,2012,04,19,889.0,21977.0,37541.0,61728.0,-2.0,-2409.0,-5033.0,-7555.0,23.5万,232,771
248,我是大熊猫,3.0,10583296,0.8025358162115083,"['汤继业', '亢宝晶']",['欧阳逸冰'],"['李扬', '韩乔生', '刘纯燕']",动画,1086,86,2012,04,28,17.0,392.0,470.0,1535.0,-8.0,-301.0,-373.0,-1112.0,434.1万,159,6
250,我是路人甲,7.2,25746375,1.0,['尔冬升'],['尔冬升'],"['万国鹏', '王婷', '沈凯', '徐小琴', '林晨']",剧情,18580,134,2015,07,03,146.0,1296.0,6989.0,5941.0,-83.0,209.0,-232.0,267.0,6319.3万,14018,4340
251,我爱HK开心万岁,7.0,5318665,1.0,"['钟澍佳', '曾志伟']","['钟澍佳', '麦曦茵', '黄洋达']","['曾志伟', '梁家辉', '吴君如', '黄宗泽', '王祖蓝']",剧情,82879,104,2011,01,31,150.0,3526.0,4321.0,15083.0,-2.0,0.0,0.0,0.0,2893.2万,84,195
252,我爱灰太狼,2.7,24325767,0.1325991032627829,['叶凯'],['黄伟健'],"['赵英俊', '王智', '蔡景森']",喜剧,2500,88,2013,08,01,857.0,16194.0,9582.0,44203.0,1.0,-3046.0,21148.0,4744.0,7532.1万,1517,2606
253,我爱灰太狼2,2.7,24325767,4.698516963819177e-05,['叶凯'],['黄伟健'],"['赵英俊', '王智', '蔡景森']",喜剧,11593,88,2013,08,01,10.0,524.0,1242.0,168.0,-6.0,-206.0,-903.0,-83.0,7549.4万,26970,4461
254,我爱的是你爱我,5.4,20471876,0.975195113003918,['马志宇'],['马志宇'],"['张涵予', '王珞丹', '朱丹', '王柏杰', '李呈媛']",剧情,18971,97,2013,11,08,829.0,12079.0,12763.0,19816.0,-1.0,0.0,0.0,0.0,3028.8万,32790,207
255,我的早更女友,5.4,25834473,1.0,['郭在容'],"['曹金玲', '宝卿', '严苏倩']","['周迅', '佟大为', '钟汉良', '张梓琳', '郭书瑶']",喜剧,81862,98,2014,12,12,175.0,5109.0,2772.0,14706.0,-109.0,0.0,0.0,0.0,16180.2万,72,4173
256,我的男友和狗,5.7,24851526,0.9999999999946021,['陈慧翎'],"['叶\u200b乃\u200b菁\u200b', '原田舞叶']","['张钧甯', '何润东', '赖佩霞', '丁春诚', '薛仕凌']",爱情,8641,94,2015,06,19,893.0,3975.0,21291.0,12480.0,-4.0,0.0,0.0,0.0,2419.8万,21456,1153
257,我的男男男男朋友,3.6,10766178,0.9930341850028264,['赵崇基'],"['郑东树', '李蔚思']","['汪东城', '谢娜', '李承炫', '谢依霖', '何晶晶']",喜剧,110255,95,2013,11,15,880.0,9696.0,12901.0,26806.0,0.0,246.0,226.0,1037.0,780.1万,8128,1359
258,我的美丽王国,3.3,11526508,0.9999374196281297,['麦咏麟'],['辛苑子'],"['周秀娜', '汪东城', '陈汉典', '巩新亮', '顾璇']",喜剧,106,87,2013,12,13,368.0,3601.0,10567.0,10165.0,-245.0,-1293.0,-6532.0,-5458.0,57.2万,1710,349
259,我知女人心,5.6,4845414,0.9968524500368358,['陈大明'],['陈大明'],"['刘德华', '巩俐', '袁立', '陈志朋', '李诚儒']",喜剧,33354,117,2011,02,03,22.0,816.0,863.0,1349.0,-2.0,-297.0,-106.0,-454.0,6537.1万,27428,13040
260,战狼,7.3,26363254,0.9999999995277749,['吴京'],"['吴京', '董群', '刘毅']","['吴京', '弗兰克·格里罗', '吴刚', '张翰', '卢靖姗']",动作,742,123,2017,07,27,846.0,27509.0,22602.0,102173.0,-18.0,-8512.0,-16561.0,-57489.0,54554.7万,970,4581
261,战略特勤组,7.8,2275370,1.0,['格雷格·乔丹'],['皮特·伍德瓦德'],"['麦克·辛', '塞缪尔·杰克逊', '凯瑞-安·莫斯', '布兰登·罗斯', 'Necar Zadegan']",剧情,1762,97,2011,07,10,208.0,2263.0,1728.0,16308.0,-52.0,0.0,0.0,0.0,2968.2万,7236,706
262,戚继光英雄传,2.2,10757012,0.9999999995901608,"['姚林', '杨清峰', '吴鲁光', '沈丹冶']",['符利群'],[],剧情,161,90,2012,06,01,861.0,7068.0,7551.0,53075.0,-158.0,0.0,0.0,0.0,1.0万,2448,459
263,房不剩防,5.8,4960204,0.9999999977904348,['孙达'],['孙达'],"['赵毅', '李念', '李菁', '何伟', '方青卓']",喜剧,84971,94,2011,03,22,4.0,54.0,499.0,131.0,0.0,0.0,0.0,0.0,378.5万,1012,504
