,rating,sentiment,total_people,running_time,year,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like,boxing,difference,average,d_mean,d_std,s_mean,s_std,t_mean,t_std,J·J·艾布拉姆斯,乔丹娜·布鲁斯特,乔斯·韦登,亚伦·保尔,亨利·卡维尔,伊尔凡·可汗,伊德里斯·艾尔巴,伊莫琴·普茨,佐伊·索尔达娜,保罗·沃克,克萝丽丝·利奇曼,克里斯·埃文斯,克里斯·帕拉特,克里斯·桑德斯,克里斯·海姆斯沃斯,克里斯托弗·埃克莱斯顿,克里斯托弗·诺兰,克里斯汀·韦格,冯小刚,冯绍峰,凯文·科斯特纳,凯瑟琳·基纳,刘雅瑟,加里·奥德曼,劳拉·邓恩,卡西·阿弗莱克,卢惠光,卢靖姗,史蒂夫·卡瑞尔,史蒂夫·库根,史蒂文·斯皮尔伯格,吉尔莫·德尔·托罗,吕寅荣,吴京,吴秀波,哈维尔·巴登,哈莉·贝瑞,唐·钱德尔,塔伦·埃格顿,塔布,多米尼克·库珀,姚星彤,娜塔莉·波特曼,娜奥米·哈里斯,孙健君,安吉丽娜·朱莉,安妮·海瑟薇,宋美慧,宋美曼,小罗伯特·唐尼,尼克·罗宾森,布莱丝·达拉斯·霍华德,布莱恩·辛格,廖凡,弗兰克·格里罗,张晋,张译,归亚蕾,徐峥,成龙,戴安·琳恩,扎克瑞·昆图,托尼·贾,拉塞尔·布兰德,拉菲·斯波,文森特·多诺费奥,斯嘉丽·约翰逊,斯科特·沃,朗·普尔曼,本·金斯利,本杰明·布拉特,朱浩伟,朱迪·丹奇,权相宇,李宇春,李安,李小璐,李秉宪,李连杰,杜鹃,杨子姗,杰克·布莱克,杰森·斯坦森,杰西卡·查斯坦,林更新,林诣彬,查理·戴,查理·汉纳姆,柯克·德·米科,格温妮斯·帕特洛,江疏影,汤唯,汤姆·希德勒斯顿,沙恩·布莱克,泰·辛普金斯,海清,温子仁,王德顺,王真儿,理查德·阿滕伯勒,瑞奇·热维斯,白百何,皮埃尔·柯芬,科林·特雷沃罗,科林·费尔斯,米兰达·卡斯格拉夫,米歇尔·罗德里格兹,罗宾·威廉姆斯,艾玛·斯通,苏拉·沙玛,范·迪塞尔,范伟,菊地凛子,萨姆·门德斯,葛优,薛晓路,袁泉,西蒙·佩吉,詹姆斯·麦卡沃伊,谢楠,赵又廷,赵天宇,赵薇,达斯汀·霍夫曼,达科塔·约翰逊,迈克尔·凯恩,迈克尔·基顿,迈克尔·珊农,郑保瑞,郝蕾,郭敬明,钱人豪,阿兰·泰勒,阿德琳妮·帕里奇,阿迪勒·侯赛因,陈学冬,陶虹,雷·帕克,韩寒,马修·沃恩,马修·麦康纳,马克·斯特朗,马克·韦布,鲍勃·佩克,鲍德熹,鹿晗,黄渤,genre_传记,genre_儿童,genre_剧情,genre_动作,genre_动画,genre_历史,genre_喜剧,genre_奇幻,genre_家庭,genre_悬疑,genre_惊悚,genre_战争,genre_歌舞,genre_爱情,genre_科幻,genre_纪录片
347,6.5,1.0,111888,133,2013,809.0,29088.0,67606.0,82927.0,-124.0,-21553.0,-17497.0,-61353.0,60077.8,24818,2508,29624.625,0.0,42997.35555555556,12554.82771471488,44344.03666666667,17162.919261038704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
348,4.2,0.9931394604739664,282,86,2014,313.0,7803.0,15905.0,83987.0,-250.0,-4600.0,-14948.0,-71268.0,168.4,1099,127,168.4,0.0,168.4,0.0,163.7,9.399999999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
349,7.0,0.9999999999999756,6113,149,2013,807.0,9626.0,19718.0,13746.0,-423.0,-5795.0,-6424.0,-6560.0,8145.1,13497,4909,8145.1,0.0,8145.100000000001,9.094947017729282e-13,6642.093333333333,1323.25842443736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
350,4.2,0.2674412017039751,36266,85,2013,813.0,42957.0,13109.0,126373.0,-402.0,-41139.0,-12748.0,-85383.0,581.1,69,1275,581.1,0.0,581.1,0.0,603.5699999999999,170.65837102234397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
351,4.0,0.999636610953139,1104,90,2015,880.0,39695.0,26936.0,148974.0,0.0,0.0,0.0,0.0,4549.1,30253,4727,4549.1,0.0,4549.1,0.0,4450.82,196.56000000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
352,4.6,0.9999999999998544,379874,90,2014,603.0,3478.0,780.0,4500.0,-327.0,0.0,0.0,0.0,3165.1,-6094,7107,3165.1,0.0,3165.1,0.0,7323.939666666667,3201.0129062575043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
353,5.5,0.9860945583320916,279,98,2013,32.0,1231.0,1661.0,11383.0,-20.0,-1008.0,-1184.0,-11126.0,1170.1,2581,539,1516.0333333333335,0.0,1170.1,0.0,1344.4772727272727,607.5729553445543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
354,8.4,0.999999999994316,209,125,2015,189.0,1793.0,7020.0,22478.0,-95.0,223.0,-3899.0,-12643.0,48452.6,187,106,48452.6,0.0,54413.600000000006,5961.000000000004,40555.405,13601.077301820616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
355,5.3,1.0,48,109,2012,278.0,1091.0,838.0,1721.0,-38.0,0.0,0.0,0.0,7700.1,4701,1622,7700.1,0.0,7700.1,0.0,8604.785999999998,5332.003900184619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
356,4.4,0.5630894088272985,471,86,2013,92.0,291.0,427.0,1686.0,-19.0,0.0,0.0,0.0,117.3,2698,587,117.3,0.0,117.3,0.0,10200.35993939394,11794.216726517101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
