,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like
1,年年有今日,7.8,4191644,1.0,['罗勒·莎菲'],['大卫·尼克尔森'],"['安妮·海瑟薇', '吉姆·斯特吉斯', '汤姆·米森', '朱迪·惠特克', '蒂姆·凯']",剧情,46743,107,2011,08,19,856.0,26524.0,32515.0,123571.0,0.0,0.0,0.0,0.0
13,龙飞凤舞,6.7,7163765,0.9999999999999988,['王育麟'],"['太保', '吴朋奉', '郭春美', '陈家乐', '陳家祥', '王莉雯', '朱家儀', '王安琪', '陳泰樺']",[],剧情,62150,109,2012,01,13,852.0,324.0,855.0,3294.0,0.0,0.0,0.0,0.0
14,阴阳路六之凶周刊,5.3,26961002,0.0520573551996818,['邱礼涛'],['邱礼涛'],"['古天乐', '张智霖', '林家栋', '蔡卓妍', '佘诗曼']",悬疑,62150,98,2017,10,27,59201.0,8894.0,28238.0,99954.0,57626.0,0.0,0.0,0.0
15,红岩 第2部,8.3,26675621,0.9999999999607764,"['濑下宽之', '安藤裕章']","['濑古浩司', '樱井画门']","['宫野真守', '细谷佳正', '樱井孝宏', '大塚芳忠', '小松未可子']",剧情,9732,106,2016,05,06,91649.0,5817.0,6130.0,18005.0,50.0,-2393.0,-24.0,-599.0
39,蜘蛛侠,7.4,24753477,0.9999999999999684,['乔·沃茨'],"['约翰·弗朗西斯·戴利', '史蒂夫·迪特寇', '乔纳森·M·戈尔茨坦', '斯坦·李']","['汤姆·赫兰德', '小罗伯特·唐尼', '玛丽莎·托梅', '迈克尔·基顿', '雅各布·巴特朗']",动作,137281,133,2017,09,08,27.0,116.0,620.0,156.0,-2.0,0.0,0.0,0.0
43,黑白,5.2,25723093,0.9999999998086326,"['游坚煜', '李权峰']","['游坚煜', '李权峰', '黄志翔']","['王传一', '李妍憬', '张静之', '窦智孔', '史黛西']",动作,42,118,2016,03,18,14.0,1335.0,1293.0,1887.0,0.0,0.0,0.0,0.0
50,诺玛的十七岁,3.0,26757951,0.999999872527752,['彭发'],['雷志龙'],"['徐娇', '胡夏', '鲁诺', '王力宏', '蔡卓妍']",爱情,54,91,2017,09,15,9.0,454.0,1249.0,1067.0,0.0,0.0,0.0,0.0
91,鸿门宴,6.3,5908477,1.0,['李仁港'],['李仁港'],"['黎明', '冯绍峰', '刘亦菲', '张涵予', '黄秋生']",剧情,239,135,2011,11,29,871.0,7010.0,6265.0,51113.0,1.0,0.0,0.0,0.0
119,爱了再爱,8.5,4798707,0.9999999999999996,['迈克尔·哈内克'],['迈克尔·哈内克'],"['让-路易·特兰蒂尼昂', '埃玛妞·丽娃', '伊莎贝尔·于佩尔', '威廉姆·西梅尔']",剧情,24284,127,2012,05,20,91.0,288.0,161.0,235.0,-5.0,0.0,0.0,0.0
134,跆拳道,7.2,26781921,0.999999999999602,"['马可·伯格', '马丁·法里纳']",['马可·伯格'],"['加布里埃尔·爱泼斯坦', '卢卡斯·帕帕', '尼古拉斯·巴索夫', '弗朗西斯科·贝尔坦', '阿图罗·弗鲁托斯']",剧情,413409,112,2016,08,18,70.0,10998.0,3232.0,123752.0,0.0,0.0,0.0,0.0
138,卧虎,7.5,26425068,1.0,"['王晶', '关智耀']","['王晶', '吕冠南', '叶铭浩']","['甄子丹', '刘德华', '姜皓文', '郑则仕', '刘浩龙']",动作,679,128,2017,09,30,831.0,16599.0,28403.0,49685.0,1.0,0.0,0.0,0.0
176,哆啦A梦:大雄的恐龙,6.6,26839466,0.9997888286861816,['高桥敦史'],"['高桥敦史', '藤子·F·不二雄']","['水田山葵', '大原惠美', '嘉数由美', '木村昴', '关智一']",动画,16873,101,2017,05,30,949.0,633486.0,1004238.0,47661.0,0.0,8.0,0.0,0.0
188,怪女孩,6.4,25958789,0.8719549967178922,['大九明子'],"['源孝志', '原田マハ(原作)']","['足立梨花', '优希美青', '安兰慧', '白羽由里', '甲本雅裕']",剧情,934,118,2015,02,21,393.0,960.0,934.0,6550.0,-19.0,0.0,0.0,0.0
211,梦之队,6.3,4111473,1.0,['本森·李'],"['Chris Parker', 'Brin Hill']","['乔什·哈洛威', '拉兹·阿隆索', '乔希·佩克', '凯蒂·洛茨', '克里斯·布朗']",歌舞,141055,109,2013,09,20,348.0,3597.0,5515.0,29806.0,-3.0,0.0,0.0,0.0
238,钢铁侠,7.5,3231742,0.9999955443630056,['沙恩·布莱克'],"['沙恩·布莱克', '德鲁·皮尔斯', '斯坦·李', '唐·赫克', '拉里·利伯', '杰克·科比']","['小罗伯特·唐尼', '盖·皮尔斯', '格温妮斯·帕特洛', '本·金斯利', '唐·钱德尔']",动作,57946,134,2013,05,01,11.0,85.0,231.0,230.0,0.0,0.0,0.0,0.0
240,樱桃,5.6,6529885,0.9999999578686484,['史蒂芬·艾略特'],"['罗蕾莱·李', '史蒂芬·艾略特']","['詹姆斯·弗兰科', '阿什丽·欣肖', '海瑟·格拉汉姆', '戴夫·帕特尔', '莉莉·泰勒']",剧情,3398,102,2012,04,24,4.0,64.0,165.0,170.0,0.0,0.0,0.0,0.0
250,追星家族,7.1,10766459,1.0,['吕克·贝松'],"['吕克·贝松', '迈克尔·卡莱奥', '托尼诺·贝纳奎斯塔']","['罗伯特·德尼罗', '米歇尔·菲佛', '迪安娜·阿格隆', '约翰·德利奥', '汤米·李·琼斯']",喜剧,55,111,2014,03,07,48.0,1510.0,2160.0,8148.0,0.0,0.0,0.0,0.0
256,鸟巢,5.7,25862279,0.9999991338034536,['杰森·摩尔'],['宝拉·佩尔'],"['蒂娜·菲', '艾米·波勒', '玛娅·鲁道夫', '伊克·巴里霍尔兹', '詹姆斯·布洛林']",喜剧,17787,118,2015,12,18,74.0,5279.0,6088.0,3212.0,-19.0,-2459.0,-1248.0,2.0
258,月亮,9.0,6313765,0.9999999986596544,['埃里康·卡萨罗萨'],['埃里康·卡萨罗萨'],"['克丽斯塔·谢富勒', '托尼·弗希勒', '菲尔·谢里登']",动画,198,7,2011,06,法国,602.0,1207.0,859.0,7672.0,-2.0,0.0,0.0,0.0
267,破冰,7.2,10344754,1.0,['杜琪峰'],"['韦家辉', '游乃海', '陈伟斌', '余曦']","['孙红雷', '古天乐', '黄奕', '钟汉良', '高云翔']",剧情,4424,108,2013,04,02,1.0,4.0,2.0,14.0,0.0,0.0,0.0,0.0
269,圣经里的秘密,8.3,2133323,1.0,['本·斯蒂勒'],"['斯蒂夫·康拉德', '詹姆斯·瑟伯']","['本·斯蒂勒', '克里斯汀·韦格', '亚当·斯科特', '西恩·潘', '凯瑟琳·哈恩']",剧情,116522,114,2013,12,25,3.0,26.0,48.0,20.0,0.0,0.0,0.0,0.0
285,过界,5.6,19944289,0.9999999999940584,['刘韵文'],['刘韵文'],"['刘嘉玲', '陈坤', '田沅', '车婉婉', '郑丹瑞']",剧情,59142,94,2014,02,14,1.0,0.0,44.0,5.0,0.0,0.0,0.0,0.0
295,诡计,6.0,26665873,1.0,['李昌烈'],"['李廷镇', '姜艺媛', '金太勋']",[],剧情,25420,94,2016,07,13,20.0,227.0,267.0,387.0,-1.0,-53.0,-51.0,-1.0
327,牛铃响叮当,6.1,26941790,1.0,"['乔恩·卢卡斯', '斯科特·摩尔']","['乔恩·卢卡斯', '斯科特·摩尔']","['米拉·库尼斯', '克里斯汀·贝尔', '凯瑟琳·哈恩', '克里斯汀·芭伦斯基', '苏珊·萨兰登']",喜剧,1062,104,2017,11,01,184.0,9360.0,7734.0,64483.0,-4.0,0.0,0.0,0.0
352,光之美少女：充满秘密的玩具王国,7.8,24858416,0.9999999995227141,['伊藤尚往'],['山口亮太'],"['生天目仁美', '寿美菜子', '渕上舞', '宮本佳那子', '釘宮理恵']",动画,228104,70,2013,10,26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,快枪手,5.1,26219893,1.0,['潘安子'],"['潘安子', '周智勇']","['林更新', '张静初', '腾格尔', '刘晓庆', '锦荣']",喜剧,14109,115,2016,07,15,8.0,168.0,189.0,33.0,-3.0,-155.0,-62.0,-24.0
394,情定敖木仑,7.4,10574468,1.0,['薛晓路'],['薛晓路'],"['汤唯', '吴秀波', '海清', '宋美曼', '宋美慧']",喜剧,5924,123,2013,03,21,283.0,1715.0,1383.0,6397.0,-59.0,6.0,12.0,37.0
430,大国手之扬州论枰,7.5,5912979,0.9976755401616664,['萧锋'],['武志刚'],"['程皓枫', '章贺']",古装,70,90,2011,08,20,914.0,20321.0,42691.0,43512.0,0.0,0.0,0.0,0.0
454,迷城,5.5,25837175,1.0,['林岭东'],"['林岭东', '吕冠南', '谭广源', '沈诗棋']","['古天乐', '余文乐', '佟丽娅', '张孝全', '谢天华']",动作,37,105,2015,07,30,6.0,81.0,398.0,29.0,-1.0,-75.0,-358.0,-28.0
477,纳尼亚传奇：黎明踏浪号,6.5,2131291,0.1086331937186813,['迈克尔·艾普特'],"['克里斯托弗·马库斯', '斯蒂芬·麦克菲利', '迈克尔·彼得罗尼', 'C·S·刘易斯']","['本·巴恩斯', '斯堪德·凯恩斯', '乔芝·韩莉', '威尔·保尔特', '西蒙·佩吉']",剧情,1408,113,2011,01,07,329.0,2045.0,7163.0,7894.0,-55.0,0.0,0.0,0.0
478,创：战纪,6.4,2997134,0.9999524767107156,['约瑟夫·科辛斯基'],"['亚当·霍罗威茨', '布赖恩·克卢格曼', '爱德华·基齐斯', '李·施特恩塔尔', '史蒂文·利斯伯吉尔', '邦尼·麦克伯德']","['加内特·赫德兰', '奥利维亚·王尔德', '杰夫·布里吉斯', '布鲁斯·巴克林纳', '詹姆斯·弗莱恩']",动作,1408,125,2011,01,10,812.0,7275.0,14024.0,73247.0,-22.0,0.0,0.0,0.0
479,喜羊羊与灰太狼之兔年顶呱呱,6.2,5364978,1.0,['赵崇邦'],['赵崇邦'],"['祖丽晴', '张琳', '邓玉婷', '梁颖', '刘红韵']",喜剧,10587,88,2011,01,21,740.0,4249.0,3388.0,9061.0,-4.0,-365.0,211.0,-253.0
481,我爱HK开心万岁,7.0,5318665,1.0,"['钟澍佳', '曾志伟']","['钟澍佳', '麦曦茵', '黄洋达']","['曾志伟', '梁家辉', '吴君如', '黄宗泽', '王祖蓝']",剧情,82879,104,2011,01,31,150.0,3526.0,4321.0,15083.0,-2.0,0.0,0.0,0.0
482,我知女人心,5.6,4845414,0.9968524500368358,['陈大明'],['陈大明'],"['刘德华', '巩俐', '袁立', '陈志朋', '李诚儒']",喜剧,33354,117,2011,02,03,22.0,816.0,863.0,1349.0,-2.0,-297.0,-106.0,-454.0
483,熊猫总动员,3.4,4913184,0.00013186660432695785,"['Greg Manwaring', 'Michael Schoemann']",['Greg Manwaring'],"['何炅', '谢娜', '李维嘉', '杜海涛', '刘纯燕']",动画,33354,86,2011,02,03,839.0,1275.0,1301.0,3629.0,0.0,0.0,0.0,0.0
484,青蜂侠,5.7,2147836,0.9999999999925688,['米歇尔·贡德里'],"['埃文·戈德堡', '塞斯·罗根', '乔治·W·特伦德尔']","['塞斯·罗根', '周杰伦', '卡梅隆·迪亚兹', '克里斯托弗·沃尔兹', '汤姆·威尔金森']",喜剧,21343,119,2011,02,08,29.0,517.0,939.0,440.0,-15.0,-261.0,-710.0,-49.0
485,将爱情进行到底,6.6,4896263,1.0,['张一白'],"['沈巍', '邢爱娜', '某小丫', '黄子珈']","['李亚鹏', '徐静蕾', '王学兵', '何洁', '程伊']",剧情,21343,103,2011,02,12,874.0,5536.0,8959.0,92792.0,0.0,1005.0,8029.0,14770.0
486,致命伴旅,6.6,4190211,0.9999999993496692,['弗洛里安·亨克尔·冯·多纳斯马尔克'],"['朱利安·费罗斯', '克里斯托弗·麦奎里', '弗洛里安·亨克尔·冯·多纳斯马尔克', '热罗姆·萨尔']","['约翰尼·德普', '安吉丽娜·朱莉', '卢夫斯·塞维尔', '保罗·贝坦尼', '提摩西·道尔顿']",剧情,53227,105,2011,02,13,26.0,161.0,371.0,132.0,-2.0,-7.0,3.0,9.0
487,丛林有情狼,6.3,3026555,0.9999999998274658,"['本·格鲁克', 'Anthony Bell']","['Chris Denk', 'Steve Moore', '本·格鲁克']","['海顿·潘妮蒂尔', '克里斯蒂娜·里奇', '贾斯汀·朗', '丹尼斯·霍珀', '丹尼·格洛弗']",喜剧,53227,88,2011,02,25,435.0,7984.0,45266.0,75966.0,-49.0,0.0,0.0,0.0
489,再吻我一次,7.0,3317125,0.9999999999999988,['加布里埃莱·穆奇诺'],['加布里埃莱·穆奇诺'],"['斯蒂芬努·阿科西', '维多利亚·普契尼', '皮耶尔弗兰切斯科·法维诺', '克劳迪奥·桑塔玛利亚', '乔治·帕索蒂']",剧情,17834,139,2011,03,04,123.0,4120.0,3281.0,9940.0,-9.0,-44.0,-386.0,157.0
490,致命请柬,2.5,5992886,3.2694225116092207e-07,['孙小光'],['孙小光'],"['张达明', '焦婷', '胡桑']",剧情,3590,95,2011,03,04,8.0,66.0,143.0,29.0,-3.0,-48.0,-91.0,-19.0
491,幸存日,4.8,5415664,0.9999365020326,['Douglas Aarniokoski'],['Luke Passmore'],['Shannyn Sossamon'],悬疑,3590,87,2012,08,17,45.0,508.0,1921.0,4322.0,-2.0,-36.0,3.0,-659.0
492,奇袭60阵地,7.4,3681128,0.9999924227480408,['杰瑞米·西姆斯'],['大卫·洛奇'],"['布伦丹·考威尔', '哈里森·吉尔伯特森', '史蒂芬·李·马奎德', '杜坎·杨', '盖东·格兰特利']",剧情,739,122,2011,03,11,45.0,160.0,658.0,774.0,-9.0,0.0,0.0,0.0
493,寻龙夺宝,3.7,5355365,0.03428386280295437,['马里奥·安德鲁西奥'],"['马里奥·安德鲁西奥', '约翰·阿姆斯特朗', '罗恩·桑德斯']","['山姆·尼尔', '陈小春', '王姬', '罗伯特·马莫内', '李林金']",动作,739,93,2011,03,11,901.0,21157.0,67731.0,166052.0,2.0,0.0,0.0,0.0
494,惊沙,5.8,5343383,0.9986396614099268,['安战军'],['秦天'],"['徐僧', '国歌', '高子沣', '刘鉴', '郭东文']",历史,785,102,2011,03,12,127.0,901.0,2104.0,604.0,-44.0,76.0,215.0,423.0
495,刀见笑,5.7,4051608,0.9999999983666714,['乌尔善'],"['张嘉佳', '唐缺', '马洛杉', '乌尔善']","['安藤政信', '张雨绮', '游本昌', '刘晓晔', '徐冲']",喜剧,785,93,2011,03,17,34.0,1123.0,1357.0,1359.0,-12.0,-17.0,6.0,26.0
496,琴动我心,4.6,5924216,0.9981846445215814,['周伟'],"['刘慧东', '朱可欣']","['邬祯琳', '高曙光', '邬君梅']",剧情,84971,88,2011,03,20,104.0,586.0,441.0,4947.0,-12.0,0.0,0.0,0.0
497,房不剩防,5.8,4960204,0.9999999977904348,['孙达'],['孙达'],"['赵毅', '李念', '李菁', '何伟', '方青卓']",喜剧,84971,94,2011,03,22,4.0,54.0,499.0,131.0,0.0,0.0,0.0,0.0
498,守望者：罪恶迷途,6.8,4821015,0.9999999996964988,['非行'],['非行'],"['任达华', '陈思诚', '黄圣依', '张静初', '余少群']",剧情,51,103,2011,03,25,848.0,1227.0,778.0,118402.0,0.0,0.0,0.0,0.0
499,侠盗石川,6.7,2301772,0.9999999999999768,['纪里谷和明'],"['纪里谷和明', '泷田哲郎']","['江口洋介', '大泽隆夫', '广末凉子', '奥田瑛二', 'Gori']",剧情,127306,128,2011,03,31,205.0,632.0,1206.0,3080.0,-19.0,82.0,64.0,236.0
500,硬汉2：奉陪到底,6.4,4917698,1.0,['丁晟'],['丁晟'],"['刘烨', '焦恩俊', '刘承俊', '张梓琳']",动作,127306,90,2011,04,01,166794.0,2909.0,11808.0,13118.0,-3833.0,0.0,0.0,0.0
501,宅男总动员：女神归来,3.6,5345423,1.0568414696709991e-06,['杨子'],"['杨子', '钱海毅', '虞俏']","['钟镇涛', '谭耀文', '黄又南', '叶静', '甘婷婷']",喜剧,320982,100,2011,04,01,33.0,65.0,1019.0,134.0,0.0,0.0,0.0,0.0
502,蔡李佛—极限拳速,3.6,6013880,0.6729546259757826,"['黄明升', '罗惠德']","['叶丰进', '万力', '曾春辉']","['洪金宝', '黄嘉乐', '元华', '洪天照', '小杉健']",剧情,320982,92,2011,04,02,935.0,48361.0,29843.0,169495.0,0.0,0.0,0.0,0.0
504,西藏往事,6.5,4116937,0.9999999989008336,['戴玮'],"['扎西达娃', '青牧']","['何润东', '宋佳', 'Joshua Hannum', '包小柏', '三木科']",剧情,4465,96,2011,04,08,49.0,5508.0,5329.0,7034.0,-6.0,-713.0,-44.0,-769.0
505,万有引力,6.4,4906427,0.9999694405916764,['赵天宇'],"['赵天宇', '阿美']","['文章', '白百何', '郭涛', '张静初', '戴立忍']",剧情,4465,97,2011,04,08,189.0,3924.0,14897.0,6863.0,-3.0,0.0,0.0,0.0
506,激战运钞车,5.6,2058846,0.9999999354583332,['尼姆罗德·安陶尔'],['詹姆斯·v·辛普森'],"['马特·狄龙', '让·雷诺', '劳伦斯·菲什伯恩', '阿莫里·诺拉斯科', '弗莱德·沃德']",动作,492,88,2011,04,12,16.0,255.0,847.0,102.0,-1.0,5.0,9.0,-2.0
507,美少女特攻队,6.1,3262050,0.9999999970800328,['扎克·施奈德'],"['扎克·施奈德', 'Steve Shibuya']","['艾米莉·布朗宁', '杰米·钟', '吉娜·马隆', '凡妮莎·哈金斯', '艾比·考尼什']",动作,492,110,2011,04,15,107.0,9089.0,15953.0,1111.0,-1.0,0.0,0.0,0.0
508,倩女幽魂,8.6,1297447,0.9999999999988682,['程小东'],['阮继志'],"['张国荣', '王祖贤', '午马', '刘兆铭', '林威']",爱情,504,98,2011,04,30,863.0,1210.0,564.0,9728.0,-3.0,0.0,0.0,0.0
509,赢家,6.6,5954347,0.9999218370996594,['肖央'],"['肖央', '赵鹏飞']","['王太利', '霍思燕', '肖央', '李悦然', '吴秀红']",剧情,339,31,2011,04,21,181.0,1279.0,4274.0,10861.0,-36.0,0.0,0.0,0.0
511,跟踪孔令学,6.5,4910183,1.0,['张骁'],['白铁军'],"['范伟', '马伊琍', '孙宁', '支一', '白卉子']",喜剧,110,97,2011,04,29,811.0,4596.0,15227.0,21142.0,-63.0,0.0,0.0,0.0
512,B+侦探,5.7,4118060,1.0,['彭顺'],['彭顺'],"['郭富城', '廖启智', '徐正溪', '龚蓓苾', '张兆辉']",剧情,110,100,2011,04,29,64.0,291.0,1694.0,473.0,-10.0,-194.0,-1114.0,75.0
513,恐龙宝贝,3.5,6104783,0.9998548095911128,"['汤继业', '王义得']",['汪成果'],"['孙晔', '沈达威', '王燕华', '海帆', '杨梦露']",动画,16491,85,2011,04,29,23.0,174.0,1088.0,388.0,-4.0,0.0,170.0,-38.0
514,劳拉的星星在中国,5.9,5163546,0.963326340930141,"['Piet De Rycker', 'Thilo Rothkirch']","['Klaus Baumgart', 'Piet De Rycker', 'Rolf Giesen']","['Annabel Wolf', 'Mariann Schneider', 'Dirk Bach']",动画,16491,80,2011,04,30,17.0,134.0,200.0,540.0,-5.0,90.0,109.0,286.0
515,大太阳,5.3,5977833,1.0,['杨亚洲'],['武志刚'],"['倪萍', '蒋勤勤', '刘佩琦', '吴军', '林浩']",剧情,750,101,2011,05,06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
516,乌鲁木齐的天空,7.3,6110557,1.0,['西尔扎提·亚合甫'],"['曹曦文', '于滨']",[],剧情,750,98,2011,05,08,236.0,1861.0,2956.0,1085.0,-110.0,-668.0,-1990.0,-394.0
517,最爱,7.2,4843637,1.0,['顾长卫'],"['阎连科', '杨薇薇', '顾长卫']","['章子怡', '郭富城', '濮存昕', '蒋雯丽', '蔡国庆']",剧情,5805,101,2011,05,10,284.0,2700.0,7360.0,2540.0,-10.0,0.0,0.0,0.0
518,宇宙英雄之超银河传说,6.9,3929463,0.9999999999714072,['坂本浩一'],"['岡部淳也', '樫原辰郎', '小林雄次']","['南翔太', '上良早纪', '八戸亮', '俊藤光利', '小西博之']",动作,4346,96,2011,05,13,92.0,756.0,1390.0,1339.0,-51.0,-122.0,-512.0,101.0
519,宿醉2,6.8,3654340,0.9999985596061596,['托德·菲利普斯'],"['斯科特·阿姆斯特朗', '克雷格·麦辛', '托德·菲利普斯']","['布莱德利·库珀', '扎克·加利凡纳基斯', '艾德·赫尔姆斯', '杰米·钟', '贾斯汀·巴萨']",喜剧,78642,102,2011,05,26,907.0,10378.0,25459.0,58588.0,0.0,0.0,0.0,0.0
520,守护童年,4.9,4713993,0.9999999784220848,"['刘抒鹃', '赵小溪']",['赵葆华'],"['颜丙燕', '肖韵', '姜宏波', '车永莉', '周浩东']",剧情,78642,96,2011,05,27,287.0,3955.0,7561.0,5136.0,-154.0,-3112.0,-6004.0,-1362.0
521,功夫熊猫2,8.0,3233635,1.0,['吕寅荣'],"['乔纳森·阿贝尔', '格伦·伯杰']","['杰克·布莱克', '安吉丽娜·朱莉', '达斯汀·霍夫曼', '加里·奥德曼', '成龙']",喜剧,105,91,2011,05,28,881.0,7727.0,14844.0,33701.0,2.0,0.0,0.0,0.0
522,绝代-末代女土司,5.9,6425103,0.9998856864498752,"['金琛', '陈明新']","['金琛', '黄晓萍', '郎启波', '姚建云']","['宋小宁', '晋松', '于莉红', '缪以琪', '李海斌']",剧情,59561,93,2011,06,02,317.0,1849.0,8459.0,2971.0,-162.0,-407.0,-4618.0,73.0
523,岁岁清明,6.5,4910198,0.9999972513371436,['肖风'],['程晓玲'],"['钱佩怡', '盛翔', '张纹', '王永春', '安峰']",剧情,59561,96,2011,06,03,107.0,2798.0,3411.0,26218.0,-52.0,-1662.0,-1656.0,-1184.0
524,敏感事件,5.1,4922802,0.9858882693694548,['吉尔·考夫曼'],"['吉尔·考夫曼', '乔治·理查兹']","['安以轩', '冯远征', '安钧璨', '姚橹', '蒲冰墨']",惊悚,1187,96,2011,06,06,839.0,55151.0,98499.0,128855.0,0.0,0.0,0.0,0.0
525,超能游戏者,5.5,6428516,0.0004606475945148069,['保罗·萨纳耶夫'],"['保罗·萨纳耶夫', '亚历山大·丘巴良']","['亚力克萨·巴杜科夫', '谢尔盖·布鲁诺夫', '阿格尼娅·蒂科夫斯特']",动作,1187,90,2011,06,10,71.0,286.0,399.0,406.0,-36.0,-152.0,-168.0,-224.0
526,北川重生,5.0,6519582,1.0,['孔笙'],['赵冬苓'],"['董勇', '刘敏涛', '高鑫', '祖峰', '孙敏']",剧情,59183,99,2011,05,12,78.0,292.0,1164.0,211.0,-3.0,0.0,0.0,0.0
527,男得有爱,4.9,5337543,0.9999996156484422,['韩承桓'],"['吴波', '李洋']","['袁成杰', '杨瀚', '顾又铭', '杨金承', '潘霜霜']",喜剧,59183,90,2011,06,17,34.0,9.0,50.0,8.0,-24.0,12.0,25.0,13.0
529,雪花秘扇,5.6,4135434,1.0,['王颖'],"['安吉拉·沃克曼', '罗纳德·巴斯', '迈克尔·雷', '沈亿丽', '邝丽莎']","['李冰冰', '全智贤', '姜武', '邬君梅', '休·杰克曼']",剧情,7335,104,2011,06,24,406.0,1385.0,5438.0,2073.0,-224.0,-468.0,-3097.0,-1843.0
530,重来,8.5,6874403,1.0,['约翰·卡尼'],['约翰·卡尼'],"['凯拉·奈特莉', '马克·鲁弗洛', '亚当·莱文', '詹姆斯·柯登', '海莉·斯坦菲尔德']",喜剧,28677,104,2015,06,26,78.0,164.0,275.0,2382.0,-60.0,21.0,-38.0,184.0
531,财神客栈,5.3,4707596,0.5164086306530099,['王晶'],['王晶'],"['谢霆锋', '张家辉', '黄奕', '蔡卓妍', '刘洋']",喜剧,28677,97,2011,06,28,802.0,14755.0,24388.0,32352.0,-455.0,-14383.0,-23996.0,-31581.0
532,秋之白华,6.6,5343629,1.0,['霍建起'],['思芜'],"['窦骁', '董洁', '郭家铭', '陆怡璇', '伊春德']",剧情,1783,98,2011,06,29,875.0,20042.0,19767.0,31612.0,0.0,0.0,0.0,0.0
533,飞天,3.0,6519585,0.2946178446131765,"['王珈', '沈东']","['柳建伟', '刘宏伟', '王强', '赵峻防', '梁水宝']","['刘之冰', '巫刚', '赵晓明', '牛莉', '姜瑞佳']",剧情,1783,115,2011,07,01,872.0,1720.0,4027.0,13185.0,-7.0,0.0,0.0,0.0
534,终极快递,6.5,3718493,0.999990113451057,['埃尔韦·雷诺阿'],['埃尔韦·雷诺阿'],"['迈克尔·扬', '热拉尔丁·纳卡什', '吉米·让-刘易斯', '狄迪尔·弗拉蒙', '卡塔利娜·丹尼斯']",喜剧,42,90,2011,07,02,891.0,18110.0,41871.0,59909.0,-2.0,0.0,0.0,0.0
535,孤岛惊魂,3.2,5364987,0.9999995805006212,['钟继昌'],['蓝炀'],"['陈小春', '杨幂', '叶山豪', '蔡淑臻', '黄又南']",悬疑,42,100,2011,07,08,72.0,24259.0,17890.0,28674.0,-2.0,0.0,0.0,0.0
536,战略特勤组,7.8,2275370,1.0,['格雷格·乔丹'],['皮特·伍德瓦德'],"['麦克·辛', '塞缪尔·杰克逊', '凯瑞-安·莫斯', '布兰登·罗斯', 'Necar Zadegan']",剧情,1762,97,2011,07,10,208.0,2263.0,1728.0,16308.0,-52.0,0.0,0.0,0.0
537,迷途追凶,5.8,4310059,0.9999999999777422,['罗永昌'],['冯志强'],"['黄秋生', '任贤齐', '文咏珊', '张可颐', '卢巧音']",惊悚,1762,94,2011,07,12,807.0,2451.0,3641.0,7916.0,-64.0,0.0,0.0,0.0
538,钢的琴,8.3,4876722,1.0,['张猛'],['张猛'],"['王千源', '秦海璐', '张申英', '刘谦', '罗二羊']",剧情,233,119,2011,07,15,680.0,5605.0,7328.0,8736.0,-329.0,-424.0,-638.0,-195.0
539,一夜未了情,5.1,6527170,0.9999997138962898,['江澄'],['江澄'],"['李小冉', '方中信', '周海媚']",剧情,233,100,2011,07,15,292.0,6415.0,12095.0,5122.0,-195.0,-3530.0,-4789.0,6.0
540,郭明义,4.7,6013758,0.004712035737758914,"['陈国星', '王竞']",['高满堂'],"['侯勇', '姜宏波', '李沁', '冯远征']",剧情,462,90,2011,07,15,372.0,10167.0,27955.0,4439.0,-214.0,-9320.0,-25080.0,-2286.0
541,杨善洲,7.2,6519575,0.9999999999945812,['董玲'],"['董玲', '崔民', '丁宁', '董丹蕊', '陈思青', '陈争红', '胡瀚文']","['李雪健', '奚美娟', '陶虹', '李晨', '胡明']",剧情,462,100,2011,07,19,202.0,1176.0,3057.0,2893.0,-127.0,0.0,0.0,0.0
542,蛋炒饭,6.8,6083109,0.999925338989566,['陈宇'],['陈宇'],"['黄渤', '王小毅', '郭金', '李嘉存', '张大礼']",剧情,232,92,2011,07,28,223.0,5529.0,13511.0,5586.0,-112.0,-2608.0,-3492.0,-1095.0
543,赛尔号之寻找凤凰神兽,3.2,6078953,0.9999961650946948,['刘虹'],['黄伟建'],"['张杰', '武艺', '曾轶可', '何炅', '李炜']",动画,232,90,2011,07,28,198.0,2397.0,8860.0,2669.0,-135.0,2720.0,2497.0,-1262.0
544,爱到底,6.0,3552301,0.9999952398723921,"['方文山', '九把刀', '黄子佼', '陈奕先']","['方文山', '九把刀', '黄子佼', '陈奕先', '蔡灿得']","['刘心悠', '范逸臣', '陈柏霖', '陈怡蓉', '柯宇纶']",剧情,4026,93,2011,08,05,252.0,6091.0,15557.0,14592.0,-118.0,0.0,0.0,0.0
545,雷锋侠,2.3,26266928,0.19799064550503956,['黄军'],"['马史', '杨瑞峰']",[],剧情,4026,85,2016,10,21,59.0,940.0,1028.0,1851.0,-44.0,-367.0,119.0,-317.0
546,摩尔庄园冰世纪,5.4,6389522,9.387498715041076e-06,['刘可欣'],['刘可欣'],"['张凯', '陈倩', '毛毛头', '陆揆', '宣晓鸣']",动画,252,95,2011,08,11,513.0,6264.0,23099.0,14013.0,-382.0,-3574.0,-20030.0,-4533.0
