,name,rating,id,sentiment,director,scriptwriter,starring,genre,total_people,running_time,year,month,day,a_number,a_comment,a_forward,a_like,b_number,b_comment,b_forward,b_like
1063,好命先生,3.9,24888079,0.9999999999999858,['韩兆'],['韩兆'],"['陈小春', '安以轩', '刘桦', '倪景阳', '王迅']",喜剧,53865,91,2014,08,15,866.0,4660.0,7783.0,30664.0,0.0,0.0,0.0,0.0
1064,香气,5.0,25853055,1.0,['曾翠珊'],"['王斌', '虞俏']","['朴施厚', '陈燃', '安琥', '李祥祥', '沈智瑗']",爱情,53865,100,2014,08,15,487.0,6089.0,75605.0,15978.0,-327.0,-3231.0,-73919.0,-1615.0
1065,江湖论剑实录,5.4,24758396,0.9999999999999998,['蒋卓原'],"['蒋卓原', '顾斐斐']","['郑恺', '孙坚', '潘之琳', '余思潞', '午马']",喜剧,82338,96,2014,08,15,231.0,11520.0,73962.0,65087.0,-130.0,-3709.0,-51436.0,-38969.0
1066,反贪风暴,5.3,26352445,0.9999999999820021,['林德禄 '],"['黄浩华', '林德禄 ']","['古天乐', '张智霖', '周渝民', '蔡少芬', '林保怡']",剧情,82338,95,2016,09,14,837.0,22242.0,46143.0,296452.0,-139.0,0.0,0.0,0.0
1067,临时同居,5.0,25831326,0.9999999984549306,['卓韵芝'],['卓韵芝'],"['张家辉', '郑秀文', '杨颖', '欧豪', '黄子华']",喜剧,9854,100,2014,08,21,424.0,4330.0,11538.0,10670.0,-134.0,0.0,0.0,0.0
1068,床下有人2,2.7,25910152,0.9999976223245464,['袁杰'],['张兴杰'],"['殷果儿', '李鹤楠', '陈圆', '宋伟', '陈嘉敏']",悬疑,9854,88,2014,08,22,167.0,1150.0,8337.0,32191.0,-114.0,-346.0,-6123.0,-10749.0
1069,昆虫总动员,8.1,23048775,0.9999999999999478,"['海琳·吉罗', '托马斯·绍博']","['托马斯·绍博', '海琳·吉罗']",[],动画,191902,89,2014,08,22,880.0,448.0,1752.0,915.0,0.0,0.0,0.0,0.0
1070,下一站再爱你,5.2,25711313,0.99440915249695,['李德威'],['关信辉'],"['杨紫嫣', '马浚伟', '川岛茉树代', '程小龙', '刘鑫']",剧情,191902,90,2014,08,22,808.0,19954.0,25325.0,63118.0,-293.0,-14420.0,-19207.0,-44509.0
1071,大丑,5.4,25933725,0.9999969765021872,['段青民'],['段青民'],"['樊军', '史美香', '许娜', '郭达']",剧情,21684,93,2014,08,28,28.0,1327.0,2144.0,6542.0,-13.0,-624.0,-1341.0,-5322.0
1072,美人邦,3.5,25779207,0.9957717567391609,"['张竣程', '王伟']",['万顷波'],"['立威廉', '刘雨欣', '刘羽琦', '徐立', '杜沁怡']",喜剧,21684,87,2014,08,28,5.0,2094.0,825.0,6457.0,-2.0,-16.0,-70.0,-7.0
